city,lat,lon,o3,Year
Oshawa                                                                                              ,43.94594,-78.89492,27.19,2016
Oakville                                                                                            ,43.48692,-79.70228,27.09,2016
Kitchener                                                                                           ,43.44383,-80.50381,28.82,2016
Brantford                                                                                           ,43.13861,-80.29264,29.53,2016
St. Catharines                                                                                      ,43.16006,-79.23475,29.75,2016
Cornwall                                                                                            ,45.0179806,-74.7353139,27.13,2016
Peterborough                                                                                        ,44.301833333,-78.346386111,29.71,2016
Sarnia                                                                                              ,42.990263,-82.395341,,2016
London                                                                                              ,42.97446,-81.20086,28.19,2016
Thunder Bay                                                                                         ,48.37939,-89.29017,23.15,2016
Sault Ste. Marie                                                                                    ,46.53319,-84.30992,27.45,2016
Sudbury                                                                                             ,46.49194,-81.00311,25.5,2016
Hamilton                                                                                            ,43.25744,-79.90775,24.33,2016
Hamilton                                                                                            ,43.22942,-79.86278,29.44,2016
Hamilton                                                                                            ,43.25778,-79.86167,26.69,2016
Toronto                                                                                             ,43.711105556,-79.543425,19.33,2016
Toronto                                                                                             ,43.610761,-79.52194,23.02,2016
Mississauga                                                                                         ,43.54697,-79.65869,25.98,2016
Toronto                                                                                             ,43.66417,-79.38722,25.59,2016
Toronto                                                                                             ,43.709444,-79.5435,22.07,2016
Brampton                                                                                            ,43.69875,-79.78092,27.08,2016
Toronto                                                                                             ,43.781584,-79.41773,25.92,2016
Toronto                                                                                             ,43.74792,-79.27406,25.5,2016
Kingston                                                                                            ,44.21987,-76.52113,30.58,2016
Windsor                                                                                             ,42.292889,-83.073139,27.68,2016
Windsor                                                                                             ,42.315778,-83.043667,27.67,2016
Ottawa                                                                                              ,45.38286,-75.71387,25.82,2016
Ottawa                                                                                              ,45.43433,-75.676,25.64,2016
Lévis                                                                                               ,46.806029,-71.167506,25.55,2016
Mingan                                                                                              ,50.27136,-64.2265,27.48,2016
Frelighsburg                                                                                        ,45.041384,-72.856506,31.1,2016
Saint-Jean-Sur-Richelieu                                                                            ,45.29413,-73.34857,26.69,2016
Senneterre                                                                                          ,48.431648,-77.196674,26.46,2016
Ferme-Neuve                                                                                         ,46.76866,-75.432728,24.64,2016
La Patrie                                                                                           ,45.37333,-71.250167,29.13,2016
Stukely-Sud                                                                                         ,45.365683,-72.265099,,2016
L'assomption                                                                                        ,45.80942,-73.43473,25.4,2016
Saint-Anicet                                                                                        ,45.120624,-74.2896,27.52,2016
Chapais                                                                                             ,49.822282,-74.9764,27.2,2016
Sutton                                                                                              ,45.08861,-72.55694,33.65,2016
Lac-Édouard                                                                                         ,47.64722,-72.29056,23.58,2016
Tingewick                                                                                           ,45.905785,-71.948695,30.65,2016
St-Hilaire-De-Dorset                                                                                ,45.824861111,-70.856025,32.56,2016
Notre-Dame-Du-Rosaire                                                                               ,46.84889,-70.45418,28.23,2016
St-Francois                                                                                         ,47.015308,-70.862523,28.13,2016
Deschambault                                                                                        ,46.682373,-71.965903,24.09,2016
La Dore                                                                                             ,48.80972,-72.73889,24.94,2016
Auclair                                                                                             ,47.73333,-68.70722,28,2016
Varennes                                                                                            ,45.722896,-73.376808,,2016
La Pêche                                                                                            ,45.622378,-76.018046,27.93,2016
Saint-Faustin--Lac-Carré                                                                            ,46.035,-74.48083,29.24,2016
Saint-Simon                                                                                         ,45.715614,-72.840249,25.22,2016
Charette                                                                                            ,46.4416,-72.89241,25.44,2016
St-Zépherin-De-Courval                                                                              ,46.042233333,-72.659761111,26.19,2016
Trois-Rivières                                                                                      ,46.357175,-72.546187,25.04,2016
Rouyn-Noranda                                                                                       ,48.234087,-78.982778,27.23,2016
Saguenay                                                                                            ,48.416374,-71.052412,24.41,2016
Sherbrooke                                                                                          ,45.41231,-71.8746,26.72,2016
Quebec                                                                                              ,46.774167,-71.369722,23.8,2016
Quebec                                                                                              ,46.794873,-71.246387,24.48,2016
Quebec                                                                                              ,46.821177,-71.220495,22.52,2016
Gatineau                                                                                            ,45.435987,-75.723429,25.84,2016
Montréal                                                                                            ,45.464611,-73.582583,21.7,2016
Terrebonne                                                                                          ,45.70476,-73.65776,,2016
Montréal                                                                                            ,45.512189,-73.566842,23.35,2016
Montréal                                                                                            ,45.5934,-73.63726,23.7,2016
Montréal                                                                                            ,45.54271,-73.57176,23.35,2016
Montréal                                                                                            ,45.651691,-73.573825,25.61,2016
Montréal                                                                                            ,45.468322,-73.741198,24.05,2016
Montréal                                                                                            ,45.426542,-73.928929,27.06,2016
Brossard                                                                                            ,45.448663,-73.480819,26.66,2016
Longueuil                                                                                           ,45.44298,-73.468631,,2016
Longueuil                                                                                           ,45.52207,-73.4881,25.6,2016
Laval                                                                                               ,45.547463,-73.7483166,25.55,2016
Montréal                                                                                            ,45.502648,-73.663913,19.95,2016
Montréal                                                                                            ,45.641026,-73.499682,23.41,2016
Bathurst                                                                                            ,47.609693,-65.633509,26.03,2016
Lower Newcastle                                                                                     ,47.071087,-65.423534,24.97,2016
St. Leonards                                                                                        ,47.157628,-67.831015,,2016
Saint Andrews                                                                                       ,45.086912,-67.074036,26.72,2016
Moncton                                                                                             ,46.101578,-64.789661,23.59,2016
Saint John                                                                                          ,45.28028,-66.05611,,2016
Saint John                                                                                          ,45.252898,-66.080065,26.25,2016
Saint John                                                                                          ,45.308762,-66.008384,27.61,2016
Fredericton                                                                                         ,45.957318,-66.646719,23.56,2016
Kentville                                                                                           ,45.06725,-64.47743,28.42,2016
Pictou                                                                                              ,45.68167,-62.69664,23.17,2016
Aylesford                                                                                           ,45.07267,-64.84033,31,2016
Kejimkujik                                                                                          ,44.43244,-65.20264,27.76,2016
Kejimkujik                                                                                          ,44.433611,-65.205833,27.43,2016
Sydney                                                                                              ,46.14222,-60.17252,28.18,2016
Port Hawkesbury                                                                                     ,45.6141612,-61.3623563,28.46,2016
Halifax                                                                                             ,44.719799,-63.480754,27.86,2016
Halifax                                                                                             ,44.646425,-63.573383,19.2,2016
Southampton                                                                                         ,46.38635,-62.58272,28,2016
Wellington                                                                                          ,46.47843,-63.98763,26.68,2016
Charlottetown                                                                                       ,46.233,-63.13667,28.13,2016
Labrador City                                                                                       ,52.945487,-66.910306,34.57,2016
Marystown                                                                                           ,47.09899,-55.19852,29.87,2016
Port-Au-Choix                                                                                       ,50.7123,-57.36421,,2016
Corner Brook                                                                                        ,48.95224,-57.92207,28.14,2016
Happy Valley-Goose Bay                                                                              ,53.306,-60.36314,28.86,2016
Grand Falls-Windsor                                                                                 ,48.92696,-55.65966,27.66,2016
Mount Pearl                                                                                         ,47.50513,-52.79476,27.84,2016
St Johns                                                                                            ,47.56038,-52.71147,29.25,2016
Lemieux                                                                                             ,46.3037,-72.060685,,2016
Wood Buffalo National Park                                                                          ,60.1465,-113.63769,29.22,2017
Fort Smith                                                                                          ,60.00455,-111.893241,24.91,2017
Snare Rapids                                                                                        ,63.50825,-116.00867,29.83,2017
Alert                                                                                               ,82.45083,-62.5056,30.53,2017
Iqaluit                                                                                             ,63.751619,-68.522433,25.11,2017
Inuvik                                                                                              ,68.35702,-133.714057,,2017
Norman Wells                                                                                        ,65.27926,-126.813057,15.72,2017
Yellowknife                                                                                         ,62.45207,-114.364,24.47,2017
Whitehorse                                                                                          ,60.71972,-135.05875,27.56,2017
Courtenay                                                                                           ,49.682603,-124.996222,19.72,2017
Ucluelet                                                                                            ,48.921799,-125.541209,,2017
Fort Saint John                                                                                     ,56.24473,-120.8561,25.79,2017
Whistler                                                                                            ,50.144285,-122.960402,21.81,2017
Duncan                                                                                              ,48.784854,-123.715846,19.18,2017
St. John's                                                                                          ,47.56038,-52.71147,,2017
Mount Pearl                                                                                         ,47.50513,-52.79476,29.09,2017
Grand Falls-Windsor                                                                                 ,48.92696,-55.65966,29.43,2017
Happy Valley-Goose Bay                                                                              ,53.306,-60.36314,29.91,2017
Corner Brook                                                                                        ,48.95224,-57.92207,29.03,2017
Port Aux Choix                                                                                      ,50.7123,-57.36421,28.53,2017
Burin                                                                                               ,47.09899,-55.19852,28.52,2017
Labrador City                                                                                       ,52.945487,-66.910306,33.31,2017
Charlottetown                                                                                       ,46.233,-63.13667,29.86,2017
Wellington                                                                                          ,46.47843,-63.98763,28.42,2017
Southampton                                                                                         ,46.38635,-62.58272,29.07,2017
Halifax                                                                                             ,44.64711,-63.57366,,2017
Halifax                                                                                             ,44.646425,-63.573383,21.35,2017
Halifax                                                                                             ,44.719799,-63.480754,29.27,2017
Port Hawkesbury                                                                                     ,45.614161,-61.362356,28.6,2017
Sydney                                                                                              ,46.14222,-60.17252,29.3,2017
Kejimkujik                                                                                          ,44.43244,-65.20264,29.31,2017
Aylesford                                                                                           ,45.07267,-64.84033,32.47,2017
Pictou                                                                                              ,45.68167,-62.69664,25.49,2017
Kentville                                                                                           ,45.06725,-64.47743,30.08,2017
Fredericton                                                                                         ,45.957318,-66.646719,,2017
Fredericton                                                                                         ,45.957289,-66.645236,,2017
Saint John                                                                                          ,45.308762,-66.008384,29.05,2017
Saint John                                                                                          ,45.252898,-66.080065,30.05,2017
Saint John                                                                                          ,45.28028,-66.05611,28.09,2017
Moncton                                                                                             ,46.101578,-64.789661,25.07,2017
Norton - Kings County                                                                               ,45.64192,-65.70127,25.97,2017
St Andrews                                                                                          ,45.086912,-67.074036,30.7,2017
Miramichi                                                                                           ,47.071087,-65.423534,28.23,2017
Bathurst                                                                                            ,47.609693,-65.633509,28.32,2017
Edmundston                                                                                          ,47.363195,-68.322302,,2017
Montreal                                                                                            ,45.641026,-73.499682,23.93,2017
Montreal                                                                                            ,45.502648,-73.663913,19.57,2017
Laval                                                                                               ,45.547463,-73.748317,25.74,2017
Longueuil                                                                                           ,45.52207,-73.4881,26.01,2017
Brossard                                                                                            ,45.448663,-73.480819,27.51,2017
Montreal                                                                                            ,45.426542,-73.928929,,2017
Montreal                                                                                            ,45.468322,-73.741198,23.46,2017
Montreal                                                                                            ,45.651691,-73.573825,24.96,2017
Montreal                                                                                            ,45.54271,-73.57176,24.02,2017
Montreal                                                                                            ,45.5934,-73.63726,23.25,2017
Montreal                                                                                            ,45.512189,-73.566842,23.96,2017
Terrebonne                                                                                          ,45.70476,-73.65776,26.56,2017
Montreal                                                                                            ,45.464611,-73.582583,21.72,2017
Gatineau                                                                                            ,45.435987,-75.723429,25.9,2017
Quebec                                                                                              ,46.821177,-71.220495,23.41,2017
Quebec                                                                                              ,46.794873,-71.246387,25.26,2017
Quebec                                                                                              ,46.774167,-71.369722,24.37,2017
Sherbrooke                                                                                          ,45.41231,-71.8746,28.02,2017
Saguenay                                                                                            ,48.416374,-71.052412,26.19,2017
Rouyn-Noranda                                                                                       ,48.234087,-78.982778,28.03,2017
Trois-Rivières                                                                                      ,46.357175,-72.546187,25.22,2017
St. Zephirin-De-Courval                                                                             ,46.042233,-72.659761,27.21,2017
Charette                                                                                            ,46.4416,-72.89241,24.34,2017
Saint-Simon                                                                                         ,45.715614,-72.840249,,2017
Saint-Faustin--Lac-Carré                                                                            ,46.035,-74.48083,29.96,2017
La Pêche                                                                                            ,45.622378,-76.018046,26.74,2017
Auclair                                                                                             ,47.73333,-68.70722,29.12,2017
La Dore                                                                                             ,48.80972,-72.73889,27.86,2017
Deschambault                                                                                        ,46.682373,-71.965903,24.44,2017
Saint-François                                                                                      ,47.015308,-70.862523,28.26,2017
Notre-Dame-Du-Rosaire                                                                               ,46.84889,-70.45418,28.06,2017
St-Hilaire-De-Dorset                                                                                ,45.824861,-70.856025,33.15,2017
Tingewick                                                                                           ,45.905785,-71.948695,31.42,2017
Lac-Édouard                                                                                         ,47.64722,-72.29056,24.33,2017
Sutton                                                                                              ,45.08861,-72.55694,,2017
Chapais                                                                                             ,49.822282,-74.9764,,2017
Saint-Anicet                                                                                        ,45.120624,-74.2896,28.4,2017
L'assomption                                                                                        ,45.80942,-73.43473,,2017
Ditton                                                                                              ,45.37333,-71.250167,29.55,2017
Mont Saint-Michel                                                                                   ,46.76866,-75.432728,24.66,2017
Senneterre                                                                                          ,48.431648,-77.196674,26.89,2017
Saint-Jean-Sur-Richelieu                                                                            ,45.29413,-73.34857,27.18,2017
Frelighsburg                                                                                        ,45.05006,-72.86161,32,2017
Mingan                                                                                              ,50.27136,-64.2265,,2017
Lévis                                                                                               ,46.806029,-71.167506,26.55,2017
Ottawa                                                                                              ,45.43433,-75.676,25.47,2017
Ottawa                                                                                              ,45.38287,-75.71387,26.17,2017
Windsor                                                                                             ,42.315778,-83.043667,27.43,2017
Windsor                                                                                             ,42.292889,-83.073139,27.03,2017
Kingston                                                                                            ,44.21987,-76.52113,30.45,2017
Toronto                                                                                             ,43.74792,-79.27406,24.44,2017
Toronto                                                                                             ,43.709444,-79.5435,22.08,2017
Toronto                                                                                             ,43.66417,-79.38722,25.63,2017
Mississauga                                                                                         ,43.54697,-79.65869,26.21,2017
Toronto                                                                                             ,43.610761,-79.52194,22.26,2017
Toronto                                                                                             ,43.711106,-79.543425,19.56,2017
Toronto                                                                                             ,43.78042,-79.46752,23.96,2017
Brampton                                                                                            ,43.669567,-79.76567,27.26,2017
Hamilton                                                                                            ,43.25778,-79.86167,25.66,2017
Hamilton                                                                                            ,43.22942,-79.86278,29.14,2017
Hamilton                                                                                            ,43.25744,-79.90775,25,2017
Sudbury                                                                                             ,46.49194,-81.00311,25.93,2017
Sault Ste. Marie                                                                                    ,46.53319,-84.30992,28.15,2017
Thunder Bay                                                                                         ,48.37939,-89.29017,23.39,2017
London                                                                                              ,42.97446,-81.20086,28.09,2017
Sarnia                                                                                              ,42.990263,-82.395341,28.46,2017
Peterborough                                                                                        ,44.301833,-78.346386,28.89,2017
Cornwall                                                                                            ,45.017981,-74.735314,27.22,2017
St. Catharines                                                                                      ,43.16006,-79.23475,28.16,2017
Brantford                                                                                           ,43.13861,-80.29264,28.3,2017
Kitchener                                                                                           ,43.44383,-80.50381,28.12,2017
Oakville                                                                                            ,43.48692,-79.70228,27.42,2017
Oshawa                                                                                              ,43.94594,-78.89492,27.87,2017
Guelph                                                                                              ,43.551636,-80.264156,28.35,2017
North Bay                                                                                           ,46.32323,-79.44928,26.36,2017
Tiverton                                                                                            ,44.31447,-81.54972,32.27,2017
Simcoe                                                                                              ,42.85685,-80.26964,31.05,2017
Burlington                                                                                          ,43.314575,-79.802756,27.08,2017
Dorset                                                                                              ,45.224278,-78.932944,26.77,2017
Grand Bend                                                                                          ,43.333186,-81.742822,30.97,2017
Exp. Lakes Area                                                                                     ,49.66389,-93.72111,30.05,2017
Algoma                                                                                              ,47.03361,-84.37889,31.75,2017
Egbert                                                                                              ,44.23106,-79.7831,30.64,2017
Barrie                                                                                              ,44.382314,-79.702431,25.83,2017
Newmarket                                                                                           ,44.04431,-79.48325,27.92,2017
Parry Sound                                                                                         ,45.33786,-80.03817,29.68,2017
Port Stanley                                                                                        ,42.67208,-81.16289,32.97,2017
Belleville                                                                                          ,44.15053,-77.3955,30.19,2017
Chatham                                                                                             ,42.40369,-82.20831,29.52,2017
Pickle Lake                                                                                         ,51.44814,-90.21786,30.26,2017
Moonbeam                                                                                            ,49.386389,-82.121389,,2017
Petawawa                                                                                            ,45.996722,-77.441194,25.83,2017
Winnipeg                                                                                            ,49.93207,-97.11317,11.12,2017
Winnipeg                                                                                            ,49.89799,-97.14653,23.62,2017
Brandon                                                                                             ,49.83918,-99.9206,26.9,2017
Flin Flon                                                                                           ,54.76852,-101.87747,,2017
Thompson                                                                                            ,55.74719,-97.87353,28.3,2017
Regina                                                                                              ,50.4527,-104.616,26.12,2017
Saskatoon                                                                                           ,52.13613,-106.66293,25.53,2017
Prince Albert                                                                                       ,53.201694,-105.75203,23.72,2017
Estevan                                                                                             ,49.13235,-102.98499,,2017
Swift Current                                                                                       ,50.285833,-107.81689,28.69,2017
Pinehouse Lake                                                                                      ,55.50333,-106.72167,30.41,2017
Buffalo Narrows                                                                                     ,55.834566,-108.403332,31.24,2017
Edmonton                                                                                            ,53.50022,-113.526056,25.06,2017
Edmonton                                                                                            ,53.54823,-113.36811,22.67,2017
Edmonton                                                                                            ,53.54445,-113.49884,19.9,2017
Edmonton                                                                                            ,53.564411,-113.562583,21.68,2017
Sherwood Park                                                                                       ,53.532092,-113.320983,24.18,2017
Ardrossan                                                                                           ,53.554691,-113.144905,27.45,2017
St. Albert                                                                                          ,53.626908,-113.611883,24.19,2017
Calgary                                                                                             ,51.079222,-114.141828,27.78,2017
Calgary                                                                                             ,50.955122,-113.969742,26.72,2017
Calgary                                                                                             ,51.0309,-114.0091,24.08,2017
Airdrie                                                                                             ,51.268078,-114.037794,,2017
Red Deer                                                                                            ,52.29867,-113.79352,24.57,2017
Red Deer                                                                                            ,52.24095,-113.765439,23.61,2017
Medicine Hat                                                                                        ,50.04893,-110.68116,31.62,2017
Lethbridge                                                                                          ,49.71621,-112.8006,32.29,2017
Fort Saskatchewan                                                                                   ,53.69874,-113.22285,25.2,2017
Gibbons                                                                                             ,53.827241,-113.327174,26.7,2017
Redwater                                                                                            ,53.95183,-113.105857,,2017
Bruderheim                                                                                          ,53.805629,-112.925851,22.14,2017
Fort Mcmurray                                                                                       ,56.73341,-111.39047,26.85,2017
Fort Mcmurray                                                                                       ,56.75139,-111.47662,29.29,2017
Fort Mackay                                                                                         ,57.18941,-111.6405,22.4,2017
Fort Mackay                                                                                         ,57.1492,-111.6424,21.44,2017
Wapasu                                                                                              ,57.26176,-111.037,28.95,2017
Conklin                                                                                             ,55.621408,-111.17269,36.3,2017
Elk Island                                                                                          ,53.68238,-112.86812,29.53,2017
Tomahawk                                                                                            ,53.37255,-114.76835,29.51,2017
Violet Grove                                                                                        ,53.14222,-115.13806,29.83,2017
Beaverlodge                                                                                         ,55.19634,-119.39682,29.94,2017
Carrot Creek                                                                                        ,53.621062,-115.869155,26.51,2017
Steeper                                                                                             ,53.1325,-117.09111,35.59,2017
Fort Chipewyan                                                                                      ,58.70879,-111.17683,30.16,2017
Caroline                                                                                            ,51.94687,-114.69744,35.86,2017
Grande Prairie                                                                                      ,55.1766,-118.8078,24.63,2017
Lamont                                                                                              ,53.76036,-112.88017,29.47,2017
Bretton                                                                                             ,53.0903,-114.46061,27.13,2017
Edson                                                                                               ,53.593771,-116.395822,25.3,2017
Genesee                                                                                             ,53.3016,-114.2211,20.52,2017
Hinton                                                                                              ,53.427301,-117.544067,22.94,2017
Cold Lake                                                                                           ,54.414014,-110.232939,25.12,2017
St Lina                                                                                             ,54.2165,-111.5026,30.29,2017
Anzac                                                                                               ,56.44928,-111.03722,30.42,2017
Metro Van - New Westminster                                                                         ,49.227045,-122.894487,13.86,2017
Metro Van - Burnaby                                                                                 ,49.279214,-122.970707,18.55,2017
Metro Van - Port Moody                                                                              ,49.280893,-122.849291,14.63,2017
Metro Van - Vancouver                                                                               ,49.282272,-123.12188,8.55,2017
Metro Van - Burnaby                                                                                 ,49.21519,-122.985666,18.53,2017
Metro Van - North Vancouver                                                                         ,49.301472,-123.020417,15.81,2017
Metro Van - Delta                                                                                   ,49.158348,-122.90173,18.5,2017
Metro Van - Burnaby                                                                                 ,49.279809,-122.922267,28.66,2017
Metro Van - Surrey                                                                                  ,49.132928,-122.694224,21.37,2017
Mission                                                                                             ,49.14149,-122.311078,23.51,2017
Metro Van - Richmond                                                                                ,49.141437,-123.108215,17.65,2017
Metro Van - North Vancouver                                                                         ,49.323994,-123.083496,17.75,2017
Vernon                                                                                              ,50.260617,-119.270723,19.61,2017
Metro Van - Richmond                                                                                ,49.186265,-123.152422,16.76,2017
Metro Van - Coquitlam                                                                               ,49.288265,-122.79157,,2017
Metro Van - Delta                                                                                   ,49.009877,-123.081997,23.99,2017
Metro Van - Vancouver                                                                               ,49.260267,-123.077776,12,2017
Agassiz                                                                                             ,49.238008,-121.762264,20.85,2017
Prince George                                                                                       ,53.91472,-122.74194,,2017
Victoria                                                                                            ,48.441942,-123.363165,21.9,2017
Victoria                                                                                            ,48.42369,-123.49432,23.36,2017
Kamloops                                                                                            ,50.67477,-120.334016,21.63,2017
Kelowna                                                                                             ,49.862336,-119.477367,24.81,2017
Metro Van - Abbotsford                                                                              ,49.04258,-122.30982,20.74,2017
Metro Van - Abbotsford                                                                              ,49.021554,-122.326523,22.33,2017
Metro Van-Chilliwack                                                                                ,49.155848,-121.940279,20.75,2017
Metro Van-Pitt Meadows                                                                              ,49.245233,-122.70889,18.95,2017
Metro Van-Langley                                                                                   ,49.09561,-122.567104,22.03,2017
Metro Van-Hope                                                                                      ,49.369887,-121.49912,21.06,2017
Metro Van - Maple Ridge                                                                             ,49.21494,-122.582057,21.01,2017
Squamish                                                                                            ,49.70516,-123.15133,19.35,2017
Quesnel                                                                                             ,52.981686,-122.493227,19.39,2017
Saturna                                                                                             ,48.78333,-123.13333,29.38,2017
Nanaimo                                                                                             ,49.20083,-123.99389,22.36,2017
Smithers                                                                                            ,54.783308,-127.177324,17.42,2017
Terrace                                                                                             ,54.52167,-128.6075,20.42,2017
Williams Lake                                                                                       ,52.14428,-122.150391,21.05,2017
Castlegar                                                                                           ,49.317698,-117.661527,20.61,2017
Wood Buffalo National Park                                                                          ,60.1465,-113.63769,27.96,2018
St. John's                                                                                          ,47.56038,-52.71147,26.02,2018
Mount Pearl                                                                                         ,47.50513,-52.79476,29.18,2018
Grand Falls-Windsor                                                                                 ,48.92696,-55.65966,29.87,2018
Happy Valley-Goose Bay                                                                              ,53.306,-60.36314,30.43,2018
Corner Brook                                                                                        ,48.95224,-57.92207,29.17,2018
Port Aux Choix                                                                                      ,50.7123,-57.36421,,2018
