city,lat,lon,o3,Year
Richmond                                                                                            ,49.141437,-123.108215,18.57,2015
Surrey                                                                                              ,49.132928,-122.694224,19.39,2015
Burnaby                                                                                             ,49.279809,-122.922267,25.32,2015
Delta                                                                                               ,49.158348,-122.90173,16.45,2015
North Vancouver                                                                                     ,49.301472,-123.020417,13.83,2015
Burnaby                                                                                             ,49.21519,-122.985666,15.95,2015
Vancouver                                                                                           ,49.282272,-123.12188,8.48,2015
Port Moody                                                                                          ,49.280893,-122.849291,13.18,2015
Burnaby                                                                                             ,49.279214,-122.970707,16.62,2015
Anzac                                                                                               ,56.44928,-111.03722,29.35,2015
St Lina                                                                                             ,54.2165,-111.5026,31.27,2015
Cold Lake                                                                                           ,54.414013889,-110.232938889,24.74,2015
Hinton                                                                                              ,53.427301,-117.544067,23.78,2015
Genesee                                                                                             ,53.3016,-114.2211,22.64,2015
Edson                                                                                               ,53.593771,-116.395822,24.23,2015
Bretton                                                                                             ,53.0903,-114.46061,25.25,2015
Lamont                                                                                              ,53.76036,-112.88017,30.92,2015
Grande Prairie                                                                                      ,55.1766,-118.8078,23,2015
Caroline                                                                                            ,51.94687,-114.69744,31.63,2015
Fort Chipewyan                                                                                      ,58.70879,-111.17683,27.11,2015
Steeper                                                                                             ,53.1325,-117.09111,32.48,2015
Carrot Creek                                                                                        ,53.621062,-115.869155,25.04,2015
Beaverlodge                                                                                         ,55.19634,-119.39682,29.15,2015
Fort Smith                                                                                          ,60.00455,-111.893241,26.22,2015
Violet Grove                                                                                        ,53.14222,-115.13806,29.28,2015
Tomahawk                                                                                            ,53.37255,-114.76835,28.69,2015
Elk Island                                                                                          ,53.68238,-112.86812,28.58,2015
Esther                                                                                              ,51.66975,-110.20653,,2015
Wapasu                                                                                              ,57.26176,-111.037,26.88,2015
Fort Mckay                                                                                          ,57.1492,-111.6424,17.08,2015
Fort Mckay                                                                                          ,57.18941,-111.6405,23.55,2015
Fort Mcmurray                                                                                       ,56.75139,-111.47662,25.02,2015
Fort Mcmurray                                                                                       ,56.73341,-111.39047,19.52,2015
Bruderheim                                                                                          ,53.7999878,-112.92781,25.69,2015
Fort Saskatchewan                                                                                   ,53.69874,-113.22285,23.15,2015
Lethbridge                                                                                          ,49.71621,-112.8006,31.16,2015
Medicine Hat                                                                                        ,50.04893,-110.68116,27.32,2015
Red Deer                                                                                            ,52.24095,-113.765439,23.51,2015
Red Deer                                                                                            ,52.29867,-113.79352,,2015
Calgary                                                                                             ,51.0309,-114.0091,,2015
Calgary                                                                                             ,50.955122,-113.969742,21.82,2015
Calgary                                                                                             ,51.04701,-114.07564,,2015
Calgary                                                                                             ,51.079222,-114.141828,25.91,2015
Sherwood Park                                                                                       ,53.532092,-113.320983,,2015
Edmonton                                                                                            ,53.564411,-113.562583,23.21,2015
Edmonton                                                                                            ,53.54445,-113.49884,19.42,2015
Edmonton                                                                                            ,53.54823,-113.36811,21.76,2015
Edmonton                                                                                            ,53.5001,-113.5261,22.42,2015
Swift Current                                                                                       ,50.285833,-107.81689,20.38,2015
Prince Albert                                                                                       ,53.201694,-105.75203,16.85,2015
Saskatoon                                                                                           ,52.13613,-106.66293,23.9,2015
Regina                                                                                              ,50.4527,-104.616,25.12,2015
Thompson                                                                                            ,55.74719,-97.87353,,2015
Flin Flon                                                                                           ,54.76852,-101.87747,,2015
Brandon                                                                                             ,49.83918,-99.9206,25.38,2015
Winnipeg                                                                                            ,49.89799,-97.14653,23.61,2015
Winnipeg                                                                                            ,49.93207,-97.11317,,2015
Petawawa                                                                                            ,45.996722,-77.441194,26.74,2015
Bonney Lake                                                                                         ,49.386389,-82.121389,27.17,2015
Pickle Lake                                                                                         ,51.44814,-90.21786,28.92,2015
Chatham                                                                                             ,42.40369,-82.20831,29.57,2015
Belleville                                                                                          ,44.15053,-77.3955,29.63,2015
Port Stanley                                                                                        ,42.67208,-81.16289,33.04,2015
Parry Sound                                                                                         ,45.33786,-80.03817,30.47,2015
Newmarket                                                                                           ,44.04431,-79.48325,28.52,2015
Barrie                                                                                              ,44.382313889,-79.702430556,25.38,2015
Egbert                                                                                              ,44.23106,-79.7831,30.71,2015
Algoma                                                                                              ,47.03361,-84.37889,31.49,2015
Exp Lakes Area                                                                                      ,49.66389,-93.72111,29.55,2015
Grand Bend                                                                                          ,43.333186111,-81.742822222,30.39,2015
Dorset                                                                                              ,45.224278,-78.932944,27.04,2015
Burlington                                                                                          ,43.314575,-79.802755556,26.46,2015
Simcoe                                                                                              ,42.85685,-80.26964,32.85,2015
Tiverton                                                                                            ,44.31447,-81.54972,32.46,2015
North Bay                                                                                           ,46.32323,-79.44928,27.07,2015
Guelph                                                                                              ,43.551636111,-80.264155556,27.72,2015
Oshawa                                                                                              ,43.94594,-78.89492,26.14,2015
Oakville                                                                                            ,43.48692,-79.70228,27.37,2015
Kitchener                                                                                           ,43.44383,-80.50381,27.94,2015
Brantford                                                                                           ,43.13861,-80.29264,28.88,2015
St. Catharines                                                                                      ,43.16006,-79.23475,28.55,2015
Cornwall                                                                                            ,45.0179806,-74.7353139,27.87,2015
Peterborough                                                                                        ,44.301833333,-78.346386111,29.31,2015
Sarnia                                                                                              ,42.98228,-82.40508,27.76,2015
London                                                                                              ,42.97446,-81.20086,27.93,2015
Thunder Bay                                                                                         ,48.37939,-89.29017,24.01,2015
Sault Ste. Marie                                                                                    ,46.53319,-84.30992,27.86,2015
Sudbury                                                                                             ,46.49194,-81.00311,25.72,2015
Hamilton                                                                                            ,43.25744,-79.90775,23.92,2015
Hamilton                                                                                            ,43.22942,-79.86278,29.41,2015
Hamilton                                                                                            ,43.25778,-79.86167,25.89,2015
Toronto                                                                                             ,43.610761,-79.52194,21.45,2015
Mississauga                                                                                         ,43.54697,-79.65869,25.41,2015
Toronto                                                                                             ,43.66417,-79.38722,25.67,2015
Toronto                                                                                             ,43.709444,-79.5435,21.31,2015
Brampton                                                                                            ,43.69875,-79.78092,26.52,2015
Toronto                                                                                             ,43.781584,-79.41773,25.68,2015
Toronto                                                                                             ,43.74792,-79.27406,23.55,2015
Kingston                                                                                            ,44.21987,-76.52113,30.23,2015
Windsor                                                                                             ,42.292889,-83.073139,26.5,2015
Windsor                                                                                             ,42.315778,-83.043667,27.27,2015
Ottawa                                                                                              ,45.38286,-75.71387,27.01,2015
Ottawa                                                                                              ,45.43433,-75.676,25.6,2015
Lévis                                                                                               ,46.709496,-71.26752,,2015
Mingan                                                                                              ,50.27136,-64.2265,27.38,2015
Frelighsburg                                                                                        ,45.041384,-72.856506,32.27,2015
Saint-Jean-Sur-Richelieu                                                                            ,45.29413,-73.34857,27.34,2015
Lemieux                                                                                             ,46.3037,-72.060685,26.18,2015
Senneterre                                                                                          ,48.431648,-77.196674,27.17,2015
Ferme-Neuve                                                                                         ,46.76866,-75.432728,25.75,2015
La Patrie                                                                                           ,45.37333,-71.250167,30.3,2015
Stukely-Sud                                                                                         ,45.365683,-72.265099,31.63,2015
L'assomption                                                                                        ,45.80942,-73.43473,25.79,2015
Saint-Anicet                                                                                        ,45.120624,-74.2896,28.09,2015
Chapais                                                                                             ,49.822282,-74.9764,27.59,2015
Sutton                                                                                              ,45.08861,-72.55694,34.04,2015
Lac-Édouard                                                                                         ,47.64722,-72.29056,25.24,2015
Tingewick                                                                                           ,45.905785,-71.948695,31.47,2015
St-Hilaire-De-Dorset                                                                                ,45.824861111,-70.856025,33.53,2015
Notre-Dame-Du-Rosaire                                                                               ,46.84889,-70.45418,28.38,2015
St-Francois                                                                                         ,47.015308,-70.862523,28.01,2015
Deschambault                                                                                        ,46.682373,-71.965903,24.47,2015
La Dore                                                                                             ,48.80972,-72.73889,26.52,2015
Auclair                                                                                             ,47.73333,-68.70722,28.44,2015
Varennes                                                                                            ,45.722896,-73.376808,25.1,2015
La Pêche                                                                                            ,45.622378,-76.018046,28.18,2015
