city,Year,CO,NO2,O3
Chennai                                                                         ,2019,0.8640273972602751,16.206876712328757,35.19747945205481
Hyderabad                                                                       ,2019,0.5701095890410955,29.669068493150668,28.976191780821907
Amaravati                                                                       ,2019,0.6377987421383648,22.992735849056604,35.79871069182393
Talcher                                                                         ,2019,1.7640857142857147,10.725514950166112,7.905142857142859
Visakhapatnam                                                                   ,2019,0.8638591549295777,37.734112676056306,33.01067605633803
Gurugram                                                                        ,2019,0.9037534246575338,27.13783561643835,37.795041095890404
Patna                                                                           ,2019,1.5582142857142853,42.29744444444444,61.170538922155664
Kolkata                                                                         ,2019,0.7735342465753424,43.38479452054793,29.150876712328756
Bhopal                                                                          ,2019,1.1785849056603779,44.74905660377359,57.15688679245283
Jorapokhar                                                                      ,2019,1.1249342105263163,9.308593750000004,33.65821316614422
Delhi                                                                           ,2019,1.3716164383561646,45.236027397260315,38.94101369863016
Brajrajnagar                                                                    ,2019,1.8663920454545462,16.089235474006113,10.34343558282208
Amritsar                                                                        ,2019,0.5312087912087914,15.830467032967029,20.7928011204482
Coimbatore                                                                      ,2019,1.2146798029556651,14.915837563451777,25.883349753694567
Aizawl                                                                          ,2020,0.28362831858407084,0.38849557522123906,3.70769230769231
Bengaluru                                                                       ,2020,0.8713114754098356,21.410163934426233,35.63743169398907
Amaravati                                                                       ,2020,0.4992000000000001,9.461202185792356,34.72224043715847
Jorapokhar                                                                      ,2020,1.466388888888888,10.218011049723758,47.711638418079104
Shillong                                                                        ,2020,0.22829545454545447,2.6826451612903224,27.04980392156864
Bhopal                                                                          ,2020,0.698735632183908,23.179827586206905,61.4922988505747
Coimbatore                                                                      ,2020,0.6500555555555556,44.133595505617954,32.16055555555557
Kolkata                                                                         ,2020,0.6430054644808741,28.52765027322405,37.99792349726778
Amritsar                                                                        ,2020,0.6888636363636363,14.120397727272724,31.54234567901232
Talcher                                                                         ,2020,1.6732163742690065,11.163271604938268,39.159931506849325
Jaipur                                                                          ,2020,0.7714207650273225,28.10442622950823,55.55999999999997
Ahmedabad                                                                       ,2020,8.823169398907101,31.0848087431694,43.684301675977665
Chennai                                                                         ,2020,0.8207103825136614,11.244808743169397,38.70125683060111
Gurugram                                                                        ,2020,1.1268852459016394,21.588797814207656,51.373989071038245
Thiruvananthapuram                                                              ,2020,0.747103825136612,14.889562841530065,37.63398907103823
Brajrajnagar                                                                    ,2020,0.47410596026490043,16.388295454545457,41.498960000000004
Chandigarh                                                                      ,2020,0.5522950819672133,12.315136612021863,22.499508196721315
Delhi                                                                           ,2020,1.0577595628415302,33.201748633879795,40.64989071038252
Patna                                                                           ,2020,1.1333333333333333,34.20650273224044,24.968142076502726
Ernakulam                                                                       ,2020,1.6278481012658228,3.7261682242990672,
Kochi                                                                           ,2020,1.2966666666666657,14.945705128205127,3.819691358024693
Lucknow                                                                         ,2020,1.1969945355191254,30.08224043715846,32.6771038251366
Guwahati                                                                        ,2020,0.7745901639344268,14.435136612021866,26.22377049180327
Mumbai                                                                          ,2020,0.6267759562841532,22.698852459016386,27.381475409836074
Hyderabad                                                                       ,2020,0.46464480874316955,27.142240437158467,26.788360655737698
Visakhapatnam                                                                   ,2020,0.6345856353591159,30.90723756906079,27.823646408839785
