fips,full,year,O3
37,North Carolina,2014,0.33198699005593536358
37,North Carolina,2015,0.27141563465627214741
37,North Carolina,2016,0.23583964468085106383
38,North Dakota,2008,0.19270831778425655977
38,North Dakota,2009,0.26774618144044321330
38,North Dakota,2010,0.28160745753424657534
38,North Dakota,2011,0.27706504796511627907
38,North Dakota,2012,0.22480549450549450549
38,North Dakota,2013,0.21606182600000000000
38,North Dakota,2014,0.15634254227642276423
38,North Dakota,2015,0.12183230395136778116
38,North Dakota,2016,0.24749544505494505495
39,Ohio,2009,2.7282798727544910
39,Ohio,2010,1.4739800683060109
39,Ohio,2011,4.6100939568308786
39,Ohio,2012,3.1100301607611549
39,Ohio,2013,2.3153791806083650
39,Ohio,2014,2.2627841565819861
39,Ohio,2015,2.2220453856996412
39,Ohio,2016,1.6869930083333333
40,Oklahoma,2000,0.85207645539033457249
40,Oklahoma,2001,1.0042250478087649
40,Oklahoma,2002,1.0158369728555917
40,Oklahoma,2003,1.0501872535460993
40,Oklahoma,2004,0.90945909897070467142
40,Oklahoma,2005,0.41269728780487804878
40,Oklahoma,2006,1.9068094252873563
40,Oklahoma,2007,0.65397689120580235721
40,Oklahoma,2008,0.59179587212643678161
40,Oklahoma,2009,0.65405915511727078891
40,Oklahoma,2010,0.79396238781431334623
40,Oklahoma,2011,0.84219962713797035348
40,Oklahoma,2012,0.45829787500000000000
40,Oklahoma,2013,0.34730523545706371191
40,Oklahoma,2014,0.16927344011976047904
40,Oklahoma,2015,0.69318013707865168539
40,Oklahoma,2016,1.4898447945205479
41,Oregon,2007,1.1652148636363636
41,Oregon,2008,0.97169055640243902439
41,Oregon,2009,1.6073562622478386
41,Oregon,2010,1.3380632013698630
41,Oregon,2011,0.74255611024844720497
41,Oregon,2012,0.62843283179012345679
41,Oregon,2013,1.0765544954954955
41,Oregon,2014,0.84132140029985007496
41,Oregon,2015,0.46626452602739726027
42,Pennsylvania,2000,5.1547164955848180
42,Pennsylvania,2001,5.2693526990321094
42,Pennsylvania,2002,5.0512561755582197
42,Pennsylvania,2003,4.9137165026595745
42,Pennsylvania,2004,4.5918755590675920
42,Pennsylvania,2005,5.4913049761486684
42,Pennsylvania,2006,5.0030288249553633
42,Pennsylvania,2007,5.1705318903225806
42,Pennsylvania,2008,3.9792499131994261
42,Pennsylvania,2009,3.5445857933481770
42,Pennsylvania,2010,2.9196113426452410
42,Pennsylvania,2011,2.1361014839295442
42,Pennsylvania,2012,2.1909388772165502
42,Pennsylvania,2013,2.1006906878682842
42,Pennsylvania,2014,2.2542889042394015
42,Pennsylvania,2015,1.3503994457267623
42,Pennsylvania,2016,1.0580259293233083
44,Rhode Island,2011,0.16170763636363636364
44,Rhode Island,2012,0.65130039334637964775
44,Rhode Island,2013,0.69203748446327683616
44,Rhode Island,2014,0.61729000976290097629
44,Rhode Island,2015,0.33302241111111111111
44,Rhode Island,2016,0.36589049586776859504
45,South Carolina,2003,0.70083740454545454545
45,South Carolina,2006,1.2169430718390805
45,South Carolina,2007,0.88102144389438943894
45,South Carolina,2008,0.82445184210526315789
45,South Carolina,2009,0.54272667820069204152
45,South Carolina,2010,0.65285095043103448276
45,South Carolina,2016,0.23128932758620689655
46,South Dakota,2011,0.43378950775740479549
46,South Dakota,2012,0.47678463630136986301
46,South Dakota,2013,0.42917289770279971285
46,South Dakota,2014,0.70455520253164556962
46,South Dakota,2015,0.36548254065040650407
47,Tennessee,2002,1.2277952739726027
47,Tennessee,2003,1.3092533480392157
47,Tennessee,2008,1.3559292655367232
47,Tennessee,2009,0.69424896202531645570
47,Tennessee,2010,0.88186760469314079422
47,Tennessee,2015,0.10159327645788336933
47,Tennessee,2016,0.13680346894409937888
48,Texas,2000,2.7260690956759443
48,Texas,2001,1.7270888770712909
48,Texas,2002,0.36111101568725099602
48,Texas,2003,2.0365091941800878
48,Texas,2004,2.0102913171038448
48,Texas,2005,2.2697776960014281
48,Texas,2006,1.8484827792778650
48,Texas,2007,1.2479192559217302
48,Texas,2008,0.77288035744509369333
48,Texas,2009,0.66844061358435614729
48,Texas,2010,0.82899568691495717984
48,Texas,2011,0.63446383685498220641
48,Texas,2012,0.56387711773347324239
48,Texas,2013,0.38636808459483526269
48,Texas,2014,0.32398238801645167321
48,Texas,2015,0.25830593386093838327
48,Texas,2016,0.32169478000000000000
49,Utah,2011,0.95789637534626038781
49,Utah,2012,0.22075977531206657420
49,Utah,2013,0.27509715694164989940
49,Utah,2014,0.48427021019108280255
49,Utah,2015,0.25112183596837944664
49,Utah,2016,0.66172616666666666667
51,Virginia,2000,9.0425942101335428
51,Virginia,2006,3.9241712917864476
51,Virginia,2007,3.8227723920725883
51,Virginia,2008,2.9812686272112383
51,Virginia,2009,2.6542200890052356
51,Virginia,2010,1.4803340657894737
51,Virginia,2011,0.61472873217115689382
51,Virginia,2012,0.56893782418397626113
51,Virginia,2013,0.53748298538961038961
51,Virginia,2014,0.58028648251192368839
51,Virginia,2015,0.38769870090439276486
51,Virginia,2016,0.55061671666666666667
53,Washington,2013,1.0791548108108108
53,Washington,2014,0.26370826190476190476
53,Washington,2015,0.81373488392857142857
53,Washington,2016,0.20271648275862068966
55,Wisconsin,2006,2.6256709353448276
55,Wisconsin,2007,2.4937418225806452
56,Wyoming,2007,1.0227835249307479
56,Wyoming,2008,0.54439592282958199357
56,Wyoming,2011,0.16421362374581939799
56,Wyoming,2012,0.27864809027777777778
56,Wyoming,2013,0.20484122524407252441
56,Wyoming,2014,0.21762683831990794016
56,Wyoming,2015,0.24692582451253481894
56,Wyoming,2016,-0.03359571666666666667
80,Country Of Mexico,2006,1.5970209262990456
80,Country Of Mexico,2007,1.6406719345238095
80,Country Of Mexico,2008,1.6757802017994859
80,Country Of Mexico,2009,5.8675549259259259
80,Country Of Mexico,2010,1.9573118300835655
80,Country Of Mexico,2011,3.5823167754137116
