fips,full,year,NO2
8,Colorado,2012,0.02631718695014662757
8,Colorado,2013,0.02870908857142857143
8,Colorado,2014,0.02725939865957938526
8,Colorado,2015,0.02445096596356663471
8,Colorado,2016,0.02098914126394052045
9,Connecticut,2006,0.02608601744186046512
9,Connecticut,2007,0.02901981226765799257
9,Connecticut,2008,0.02608435879396984925
9,Connecticut,2009,0.02376308916518650089
9,Connecticut,2010,0.02747427590511860175
9,Connecticut,2011,0.02897121872060206961
9,Connecticut,2012,0.03019372710280373832
9,Connecticut,2013,0.03119489900110987791
9,Connecticut,2014,0.03038544965675057208
9,Connecticut,2015,0.03110335689455388181
10,Delaware,2011,0.02498275396825396825
10,Delaware,2012,0.02649633333333333333
10,Delaware,2013,0.02894067441860465116
10,Delaware,2014,0.02618739195979899497
10,Delaware,2015,0.02837354751131221719
10,Delaware,2016,0.02515894047619047619
11,District Of Columbia,2000,0.01756739560439560440
11,District Of Columbia,2001,0.02093589398280802292
11,District Of Columbia,2002,0.02415044109589041096
11,District Of Columbia,2003,0.01937184764542936288
11,District Of Columbia,2004,0.01949817582417582418
11,District Of Columbia,2005,0.02164357182320441989
11,District Of Columbia,2006,0.02670401917808219178
11,District Of Columbia,2007,0.02855557037037037037
11,District Of Columbia,2008,0.02646770000000000000
11,District Of Columbia,2009,0.02365621546961325967
11,District Of Columbia,2010,0.02823999450549450549
11,District Of Columbia,2011,0.02458485697808535179
11,District Of Columbia,2012,0.02591574757281553398
11,District Of Columbia,2013,0.02550544122137404580
11,District Of Columbia,2014,0.02459513817330210773
11,District Of Columbia,2015,0.02666851588502269289
11,District Of Columbia,2016,0.03105715517241379310
12,Florida,2000,0.02626126123595505618
12,Florida,2001,0.02416237588652482270
12,Florida,2002,0.02316802479338842975
12,Florida,2003,0.02341661049723756906
12,Florida,2004,0.02596404494382022472
12,Florida,2005,0.02701386703601108033
12,Florida,2006,0.02919147945205479452
12,Florida,2007,0.02846431138545953361
12,Florida,2008,0.02782756250000000000
12,Florida,2009,0.02847434770114942529
12,Florida,2010,0.02888202506963788301
12,Florida,2011,0.02813100821917808219
12,Florida,2012,0.02690189617486338798
12,Florida,2013,0.02602716619718309859
12,Florida,2014,0.02602228611111111111
12,Florida,2015,0.02570759259259259259
12,Florida,2016,0.02921292307692307692
13,Georgia,2010,0.01658352173913043478
13,Georgia,2011,0.02298624242424242424
13,Georgia,2012,0.02203114442916093535
13,Georgia,2013,0.01970937463976945245
13,Georgia,2014,0.02005421629213483146
13,Georgia,2015,0.01922649132947976879
13,Georgia,2016,0.01977038095238095238
15,Hawaii,2011,0.02707897585345545379
15,Hawaii,2012,0.02425166053019145803
15,Hawaii,2013,0.02822293992248062016
15,Hawaii,2014,0.02397154901960784314
15,Hawaii,2015,0.02376297395079594790
16,Idaho,2009,0.03415621621621621622
16,Idaho,2010,0.02644644722222222222
16,Idaho,2011,0.01299860869565217391
17,Illinois,2000,0.01710486079545454545
17,Illinois,2001,0.02086588175460902734
17,Illinois,2002,0.02177759166115155526
17,Illinois,2003,0.02092285391304347826
17,Illinois,2004,0.02063606429780033841
17,Illinois,2005,0.02453626148409893993
17,Illinois,2006,0.02114359674502712477
17,Illinois,2007,0.02343666616822429907
17,Illinois,2008,0.02166979088689991863
17,Illinois,2009,0.02062840066777963272
17,Illinois,2010,0.02631221048901488306
17,Illinois,2011,0.02486672536554354736
17,Illinois,2012,0.02768487272727272727
17,Illinois,2013,0.02380328148148148148
17,Illinois,2014,0.02402569702602230483
17,Illinois,2015,0.02577153502109704641
17,Illinois,2016,0.02501432960893854749
18,Indiana,2000,0.02978171856287425150
18,Indiana,2001,0.03215273033707865169
18,Indiana,2002,0.03550572656250000000
18,Indiana,2003,0.02989703370786516854
18,Indiana,2004,0.03038040559440559441
18,Indiana,2005,0.03280651630434782609
18,Indiana,2006,0.02419956321839080460
18,Indiana,2007,0.03185664305949008499
18,Indiana,2008,0.02874951630434782609
18,Indiana,2009,0.02593005649717514124
18,Indiana,2010,0.02944995238095238095
18,Indiana,2011,0.03377055978260869565
18,Indiana,2012,0.03576250980392156863
18,Indiana,2013,0.02850038159255429162
18,Indiana,2014,0.02703470126582278481
18,Indiana,2015,0.02621149172932330827
18,Indiana,2016,0.02654231958762886598
19,Iowa,2006,0.01632480645161290323
19,Iowa,2007,0.02893893094629156010
19,Iowa,2008,0.02726952515337423313
19,Iowa,2009,0.02615857142857142857
19,Iowa,2010,0.02870885335018963338
19,Iowa,2011,0.02803213225499524263
19,Iowa,2012,0.02934953597122302158
19,Iowa,2013,0.02833460697887970615
19,Iowa,2014,0.02664081597222222222
19,Iowa,2015,0.02744391753472222222
19,Iowa,2016,0.03060908241758241758
20,Kansas,2000,0.02972557723577235772
20,Kansas,2001,0.02797798257372654155
20,Kansas,2002,0.02731575982532751092
