fips,full,year,CO
11,District Of Columbia,2006,15.9665599095890411
11,District Of Columbia,2007,15.3321439555555556
11,District Of Columbia,2008,18.0577992361111111
11,District Of Columbia,2009,18.3029540690607735
11,District Of Columbia,2010,17.6439175549450549
11,District Of Columbia,2011,15.9287996643598616
11,District Of Columbia,2012,16.2730872744924978
11,District Of Columbia,2013,11.5003487114503817
11,District Of Columbia,2014,12.3029433700234192
11,District Of Columbia,2015,13.2331565567322239
11,District Of Columbia,2016,12.4606498448275862
12,Florida,2000,12.4530383230337079
12,Florida,2001,12.3875942382978723
12,Florida,2002,11.3139613691460055
12,Florida,2003,10.9298128425414365
12,Florida,2004,9.5164725224719101
12,Florida,2005,8.6443595096952909
12,Florida,2006,8.5199624054794521
12,Florida,2007,6.1363120150891632
12,Florida,2008,5.2142512625000000
12,Florida,2009,6.0279421235632184
12,Florida,2010,5.6724893899721448
12,Florida,2011,5.3618695041095890
12,Florida,2012,5.4069261775956284
12,Florida,2013,4.5457268704225352
12,Florida,2014,4.9794516055555556
12,Florida,2015,4.1096422478632479
12,Florida,2016,5.4928689560439560
13,Georgia,2010,16.5006564347826087
13,Georgia,2011,13.3811852865013774
13,Georgia,2012,11.5832594580467675
13,Georgia,2013,9.4396695619596542
13,Georgia,2014,10.4295433848314607
13,Georgia,2015,9.6730032427745665
13,Georgia,2016,11.9353261111111111
15,Hawaii,2011,2.8897305512073272
15,Hawaii,2012,2.8904910655375552
15,Hawaii,2013,3.1166944437984496
15,Hawaii,2014,3.4493033284313725
15,Hawaii,2015,3.5649830557163531
16,Idaho,2009,6.3374456216216216
16,Idaho,2010,9.3970046694444444
16,Idaho,2011,9.9256502608695652
17,Illinois,2000,26.4374574772727273
17,Illinois,2001,22.3568017895740623
17,Illinois,2002,19.8539306022501655
17,Illinois,2003,20.6840566939130435
17,Illinois,2004,18.8142191235194585
17,Illinois,2005,17.8990803286219081
17,Illinois,2006,17.3915947902350814
17,Illinois,2007,14.5016932620560748
17,Illinois,2008,14.0859352693246542
17,Illinois,2009,13.4171180303839733
17,Illinois,2010,13.0353902097802977
17,Illinois,2011,12.1105941671964399
17,Illinois,2012,11.9540343878787879
17,Illinois,2013,10.9837713841269841
17,Illinois,2014,10.5475326970260223
17,Illinois,2015,8.3804042582278481
17,Illinois,2016,10.3744316424581006
18,Indiana,2000,15.2875803712574850
18,Indiana,2001,14.9478435449438202
18,Indiana,2002,16.3927037109375000
18,Indiana,2003,14.5227786460674157
18,Indiana,2004,13.7805553426573427
18,Indiana,2005,13.2306300271739130
18,Indiana,2006,13.9227521379310345
18,Indiana,2007,10.9944285184135977
18,Indiana,2008,9.2887806847826087
18,Indiana,2009,10.1356237909604520
18,Indiana,2010,9.3922954693877551
18,Indiana,2011,9.9063560706521739
18,Indiana,2012,9.8404625424836601
18,Indiana,2013,10.3595456980351603
18,Indiana,2014,11.3336176784810127
18,Indiana,2015,13.4941402436090226
18,Indiana,2016,13.8574780824742268
19,Iowa,2006,8.2301180000000000
19,Iowa,2007,7.3585576803069054
19,Iowa,2008,7.4587258736196319
19,Iowa,2009,6.9967480802005013
19,Iowa,2010,7.4975826814159292
19,Iowa,2011,7.3592499866793530
19,Iowa,2012,7.5774704847122302
19,Iowa,2013,6.7666955050505051
19,Iowa,2014,6.3487705364583333
19,Iowa,2015,6.0679104739583333
19,Iowa,2016,5.9948947802197802
