NAPS_ID,City,P_T,Location,Latitude,Longitude,Elevation,Classification,ID,Minimum,10th_Percentile,30th_Percentile,50th_Percentile,70th_Percentile,80th_Percentile,90th_Percentile,95th_Percentile,98th_Percentile,99th_Percentile,99.9th_Percentile,Maximum,Percent_Completeness,January,February,March,April,May,June,July,August,September,October,November,December,Mean,Standard_Deviation,Year
10901,Marystown,NL,18 Hwy 220 (Main St.),47.09899,-55.19852,1,"RB,NU,P2,R",DMean,0.06,0.1,0.11,0.13,0.14,0.14,0.15,0.16,0.18,0.34,0.49,0.49,97.808219178,0.14,0.15,0.15,0.12,0.12,0.12,0.14,0.13,0.12,0.12,0.11,0.13,0.13,0.03545317,2015
30118,Halifax,NS,1649 Barrington Street,44.646425,-63.573383,18,"PE,LU,P4,R",DMean,0.01,0.08,0.13,0.19,0.25,0.29,0.34,0.39,0.42,0.51,0.66,0.66,99.726027397,0.27,0.34,0.32,0.09,0.11,0.12,0.17,0.24,0.21,0.15,0.16,0.25,0.2,0.104438262,2015
30310,Sydney,NS,71 Welton Street,46.14222,-60.17252,27,"PE,SU,P3,R",DMean,0,0.03,0.08,0.18,0.24,0.26,0.29,0.32,0.36,0.41,0.46,0.46,99.452054795,0.25,0.31,0.24,0.21,0.23,0.26,0.14,0.06,0.1,0.07,0.05,0.1,0.17,0.103539934,2015
40103,Fredericton,NB,437 Aberdeen Street,45.957318,-66.646719,21,"PE,MU,P3,R",DMean,0.01,0.14,0.19,0.22,0.26,0.29,0.33,0.4,0.45,0.48,0.55,0.55,84.931506849,0.22,0.28,0.23,0.2,0.2,0.2,0.24,,0.21,,0.16,0.34,0.23,0.082999414,2015
40206,Saint John,NB,189 Prince William,45.269677,-66.06151,29,"PE,MU,P3,R",DMean,0.11,0.14,0.17,0.18,0.2,0.21,0.23,0.25,0.28,0.3,0.4,0.4,89.04109589,0.2,0.21,0.2,0.19,,0.16,0.2,0.18,0.18,0.16,0.17,0.19,0.19,0.037550053,2015
40302,Moncton,NB,5 Thanet Street,46.101578,-64.789661,9,"T,LU,P4,R",DMean,0.01,0.07,0.14,0.19,0.23,0.27,0.3,0.34,0.43,0.46,0.64,0.64,94.520547945,0.23,0.22,0.22,0.22,0.18,0.14,0.22,0.15,0.2,,0.15,0.18,0.19,0.097616853,2015
50109,Montréal,QC,"2495 Duncan / Decarie, Mt-Royal",45.502648,-73.663913,41,"T,LU,P6,I",DMean,0.13,0.2,0.24,0.27,0.3,0.32,0.36,0.39,0.44,0.49,0.78,0.78,85.753424658,0.33,0.34,0.31,0.25,0.26,0.23,0.28,0.26,0.27,0.24,,0.27,0.28,0.071006575,2015
50113,Laval,QC,1160 Boul Pie-Ix,45.547463,-73.7483166,35,"PE,LU,P6,R",DMean,0.12,0.16,0.19,0.21,0.24,0.26,0.3,0.37,0.51,0.6,0.88,0.88,90.684931507,0.32,0.3,0.24,0.2,0.2,0.18,0.21,0.18,0.22,0.2,,0.24,0.23,0.083046859,2015
50115,Montréal,QC,1001 Boul De Maisonneuve Ouest,45.501531,-73.574311,56,"T,LU,P6,C",DMean,0.18,0.26,0.31,0.34,0.37,0.39,0.42,0.45,0.49,0.58,0.66,0.66,100,0.36,0.36,0.37,0.33,0.32,0.31,0.35,0.31,0.33,0.33,0.36,0.35,0.34,0.067819772,2015
50128,Montréal,QC,"90-A Rue Herve-Saint-Martin, Dorval",45.468322,-73.741198,33,"PE,LU,P3,C",DMean,0.11,0.14,0.17,0.19,0.22,0.23,0.27,0.31,0.37,0.4,0.65,0.65,95.616438356,0.29,0.26,0.22,0.19,0.18,0.16,0.18,0.17,0.19,0.16,0.2,0.22,0.2,0.063815447,2015
50135,Montréal,QC,4240 Rue Charleroi,45.5934,-73.63726,41,"PE,LU,P6,R",DMean,0.13,0.16,0.2,0.23,0.27,0.3,0.39,0.47,0.63,0.77,1.03,1.03,98.630136986,0.38,0.44,0.28,0.22,0.21,0.19,0.22,0.19,0.22,0.22,0.26,0.28,0.26,0.115389145,2015
50204,Gatineau,QC,"255 St-Redempteur, Hull",45.435987,-75.723429,62,"PE,LU,P5,R",DMean,0.11,0.15,0.17,0.19,0.22,0.25,0.28,0.33,0.38,0.4,0.58,0.58,97.534246575,0.27,0.27,0.23,0.19,0.18,0.17,0.19,0.17,0.19,0.18,0.22,0.23,0.21,0.062584695,2015
