NAPS_ID,City,P_T,Location,Latitude,Longitude,Elevation,Classification,ID,Minimum,10th_Percentile,30th_Percentile,50th_Percentile,70th_Percentile,80th_Percentile,90th_Percentile,95th_Percentile,98th_Percentile,99th_Percentile,99.9th_Percentile,Maximum,Percent_Completeness,January,February,March,April,May,June,July,August,September,October,November,December,Mean,Standard_Deviation,Year
50129,Montreal,QC,12400 Wilfrid-Ouellette (R-D-P),45.651691,-73.573825,29,"PE,LU,P4,R",DMean,3,14,21,26,31,33,36,39,41,44,47,47,98.907103825,23,28,32,34,34,31,26,22,19,19,20,21,25.67,8.299743513,2020
50134,Montreal,QC,2580 Saint-Joseph Est,45.54271,-73.57176,53,"PE,LU,P6,I",DMean,4,13,19,25,30,32,36,37,41,43,45,45,98.907103825,20,25,30,33,32,31,27,22,18,19,20,18,24.48,8.384007757,2020
50135,Montreal,QC,4240 Rue Charleroi,45.5934,-73.63726,41,"PE,LU,P6,R",DMean,3,13,19,25,29,32,35,37,40,41,46,46,97.267759563,21,26,29,32,32,29,26,21,18,17,19,18,24.23,8.240648615,2020
50136,Montreal,QC,75 Rue Ontario Est,45.512189,-73.566842,32,"PE,LU,P6,R",DMean,5,14,19,25,30,32,36,38,43,45,52,52,98.633879781,19,24,30,33,33,31,27,23,19,19,20,18,24.75,8.510209788,2020
50137,Terrebonne,QC,Rues Vaillant Et De Grand-Champ,45.70476,-73.65776,34,"PE,LU,P4,R",DMean,4,15,21,27,32,35,37,40,43,44,50,50,96.994535519,25,30,34,36,35,31,26,22,19,19,20,21,26.66,8.732499282,2020
50138,Montreal,QC,1540 Roberval,45.464611,-73.582583,25,"T,LU,P6,R",DMean,2,13,19,24,29,31,35,38,41,43,45,45,98.360655738,18,23,28,34,32,30,28,21,18,19,19,19,23.8,8.302108846,2020
50204,Gatineau,QC,"255 St-Redempteur, Hull",45.435987,-75.723429,62,"PE,LU,P5,R",DMean,3,16,22,28,32,35,38,40,43,45,52,52,96.721311475,25,30,33,36,35,32,28,22,21,21,22,21,27.3,8.465436742,2020
50308,Quebec,QC,600 Rue Des Sables,46.821177,-71.220495,8,"PE,LU,P6,R",DMean,4,15,19,24,29,32,35,38,41,42,47,47,98.360655738,22,25,32,33,33,28,23,20,17,19,18,21,24.33,8.056251559,2020
50310,Quebec,QC,1150 Boul. Rene-Levesque O.,46.794873,-71.246387,69,"PE,LU,P5,R",DMean,5,16,21,25,31,34,38,40,42,45,49,49,98.633879781,25,28,36,36,35,29,24,20,18,20,19,21,26.13,8.42918161,2020
50311,Quebec,QC,"1465, Rue Felix-Antoine-Savard",46.774167,-71.369722,26,"PE,LU,P4,R",DMean,5,15,19,24,30,32,36,39,41,43,44,44,99.180327869,24,28,35,34,33,27,22,18,16,18,18,22,24.62,8.414317459,2020
50313,Quebec,QC,Autoroute Henri Iv Nord/Sortie 138,46.781321,-71.308717,52,"T,LU,P5,R",DMean,3,13,18,23,28,31,36,39,41,42,45,45,97.81420765,22,26,33,35,32,27,22,17,16,17,17,19,23.59,8.548270282,2020
50404,Sherbrooke,QC,"655, Rue Papineau",45.41231,-71.8746,211,"PE,LU,P4,R",DMean,8,18,23,28,34,36,39,41,43,44,48,48,98.360655738,28,34,38,38,35,28,25,21,21,23,25,25,28.33,8.116238759,2020
