State_Measuring_network,Station_code,Station_name,Station_setting,Station_type,Annual_mean_value_in_mg_m3,Number_of_days_with_daily_mean_values_above_125_µg_m,Number_of_hourly_mean_values_above_350_µg_m3,Year
Saxony-Anhalt,DEST077,Magdeburg/West,urban area,background,1.5,0,0,2015
Saxony-Anhalt,DEST089,Zartau/Waldstation,rural regional,background,0.89,0,0,2015
Saxony-Anhalt,DEST098,Unterharz / Friedrichsbrunn,rural regional,background,0.98,0,0,2015
Saxony-Anhalt,DEST104,Domäne Bobbe,rural area,background,1.6,0,0,2015
Saxony-Anhalt,DEST015,Bitterfeld/Wolfen,suburban area,industry,2.4,0,0,2015
Saxony-Anhalt,DEST090,Leuna,suburban area,industry,3.3,0,0,2015
Saxony-Anhalt,DEST075,Halle/Merseburger Strasse,urban area,traffic,2,0,0,2015
Saxony-Anhalt,DEST108,Weißenfels/Am Krug,urban area,traffic,1.2,0,0,2015
Schleswig-Holstein,DESH008,Bornhöved,rural regional,background,1.1,,,2015
Schleswig-Holstein,DESH035,Brunsbüttel-Cuxhavener Straße,urban area,background,1.3,0,0,2015
Thuringia,DETH009,Gera Friedericistr.,urban area,background,1.2,0,0,2015
Thuringia,DETH020,Erfurt Krämpferstr.,urban area,background,1.1,0,0,2015
Thuringia,DETH027,Neuhaus,rural secluded,background,1.1,0,0,2015
Thuringia,DETH042,Possen,rural secluded,background,1.1,0,0,2015
Thuringia,DETH061,Hummelshain,rural secluded,background,1,0,0,2015
UBA,DEUB001,Westerland,rural area,background,0.28,0,0,2015
UBA,DEUB004,Schauinsland,rural regional,background,0.46,0,0,2015
UBA,DEUB005,Waldhof,rural area,background,0.67,0,0,2015
UBA,DEUB028,Zingst,rural area,background,0.6,0,0,2015
UBA,DEUB029,Schmücke,rural area,background,0.78,0,0,2015
UBA,DEUB030,Neuglobsow,rural regional,background,0.8,0,0,2015
UBA,DEUB046,Forellenbach,rural secluded,background,1.1,0,0,2015
