State_Measuring_network,Station_code,Station_name,Station_setting,Station_type,Annual_mean_value_in_mg_m3,Number_of_days_with_daily_mean_values_above_125_µg_m,Number_of_hourly_mean_values_above_350_µg_m3,Year
Berlin,DEBE065,Berlin Frankfurter Allee,urban area,traffic,1.3,0,0,2018
Brandenburg,DEBB021,Potsdam-Zentrum,urban area,background,1.5,0,0,2018
Brandenburg,DEBB064,Cottbus,urban area,background,1.8,0,0,2018
Brandenburg,DEBB066,Spreewald,rural regional,background,1.9,0,0,2018
Brandenburg,DEBB029,Schwedt (Oder),suburban area,industry,2.4,0,0,2018
Brandenburg,DEBB032,Eisenhüttenstadt,suburban area,industry,2.1,0,0,2018
Bremen,DEHB001,Bremen-Mitte,urban area,background,1.6,0,0,2018
Bremen,DEHB002,Bremen-Ost,urban area,background,1.6,0,0,2018
Bremen,DEHB004,Bremen-Nord,urban area,background,1.5,0,0,2018
Bremen,DEHB005,Bremerhaven-Hansastraße,urban area,background,1.8,0,0,2018
Bremen,DEHB012,Bremen-Oslebshausen,urban area,background,1.9,0,0,2018
Bremen,DEHB013,Bremen-Hasenbüren,rural regional,industry,2.5,0,1,2018
Hamburg,DEHH008,Hamburg Sternschanze,urban area,background,3.8,0,0,2018
Hamburg,DEHH059,Hamburg Wilhelmsburg,urban area,background,3.8,0,0,2018
Hamburg,DEHH079,Hamburg Altona Elbhang,urban area,background,4,0,0,2018
Hamburg,DEHH081,Hamburg Hafen,urban area,background,4.7,0,0,2018
Hamburg,DEHH015,Hamburg Veddel,urban area,industry,6.6,0,0,2018
Hamburg,DEHH016,Hamburg Billbrook,urban area,industry,3.5,0,0,2018
Hesse,DEHE001,Darmstadt,urban area,background,0.87,0,0,2018
Hesse,DEHE005,Frankfurt-Höchst,urban area,background,1.2,0,0,2018
Hesse,DEHE011,Hanau,urban area,background,0.92,0,0,2018
Hesse,DEHE013,Kassel Mitte,urban area,background,0.95,0,0,2018
Hesse,DEHE018,Raunheim,urban area,background,1.6,0,0,2018
Hesse,DEHE020,Wetzlar,urban area,background,1,0,0,2018
Hesse,DEHE022,Wiesbaden Süd,urban area,background,0.92,0,0,2018
Hesse,DEHE042,Linden/Leihgestern,rural area,background,0.9,0,0,2018
Hesse,DEHE045,Michelstadt,urban area,background,0.91,0,0,2018
Hesse,DEHE051,Wasserkuppe,rural area,background,0.96,0,0,2018
Hesse,DEHE060,Kellerwald,rural regional,background,0.91,0,0,2018
Mecklenburg-West Pomerania,DEMV004,Gülzow,rural area,background,1.3,0,0,2018
Mecklenburg-West Pomerania,DEMV007,Rostock-Stuthof,suburban area,background,1.1,0,0,2018
