State_Measuring_network,Station_code,Station_name,Station_setting,Station_type,Annual_mean_value_in_mg_m3,Number_of_days_with_highest_daily_8_hour_averages_above_10_mg_m3,Year
Rhineland-Palatinate,DERP020,Trier-Ostallee,urban area,traffic,0.32,0,2018
Rhineland-Palatinate,DERP023,Worms-Hagenstraße,urban area,traffic,0.31,0,2018
Rhineland-Palatinate,DERP024,Koblenz-Friedrich-Ebert-Ring,urban area,traffic,0.23,0,2018
Rhineland-Palatinate,DERP041,Ludwigshafen-Heinigstraße,urban area,traffic,0.32,0,2018
Saarland,DESL020,Saarbrücken-Verkehr,urban area,traffic,0.45,0,2018
Saxony-Anhalt,DEST075,Halle/Merseburger Strasse,urban area,traffic,0.25,0,2018
Saxony-Anhalt,DEST092,Wittenberg/Dessauer Strasse,urban area,traffic,0.34,0,2018
Saxony-Anhalt,DEST103,Magdeburg Schleinufer,urban area,traffic,0.34,0,2018
Saxony-Anhalt,DEST108,Weißenfels/Am Krug,urban area,traffic,0.27,0,2018
Thuringia,DETH072,Suhl F.-König-Str,urban area,traffic,0.25,0,2018
Brandenburg,DEBB086,Blankenfelde-Mahlow,suburban area,background,0.24,0,2016
Baden-Württemberg,DEBW019,Ulm,urban area,background,0.16,0,2016
Baden-Württemberg,DEBW029,Aalen,suburban area,background,0.19,0,2016
Baden-Württemberg,DEBW033,Pforzheim,urban area,background,0.21,0,2016
Bavaria,DEBY012,Burghausen/Marktler Straße,suburban area,background,0.28,0,2016
Bavaria,DEBY039,München/Lothstraße,urban area,background,0.29,0,2016
Bavaria,DEBY088,Trostberg/Schwimmbadstraße,suburban area,background,0.27,0,2016
Bavaria,DEBY099,Augsburg/LfU,suburban area,background,0.27,0,2016
Bremen,DEHB001,Bremen-Mitte,urban area,background,0.25,0,2016
Bremen,DEHB005,Bremerhaven-Hansastraße,urban area,background,0.26,0,2016
Bremen,DEHB012,Bremen-Oslebshausen,urban area,background,0.14,0,2016
Hesse,DEHE001,Darmstadt,urban area,background,0.2,0,2016
Hesse,DEHE018,Raunheim,urban area,background,0.33,0,2016
Hesse,DEHE042,Linden/Leihgestern,rural area,background,0.25,0,2016
Hamburg,DEHH033,Hamburg Flughafen Nord,urban area,background,0.18,0,2016
Mecklenburg-West Pomerania,DEMV004,Gülzow,rural area,background,0.2,0,2016
Rhineland-Palatinate,DERP001,Ludwigshafen-Oppau,urban area,background,0.27,0,2016
Rhineland-Palatinate,DERP007,Mainz-Mombach,urban area,background,0.24,0,2016
Rhineland-Palatinate,DERP009,Mainz-Zitadelle,urban area,background,0.32,0,2016
Rhineland-Palatinate,DERP019,Kaiserslautern-Rathausplatz,urban area,background,0.27,0,2016
Rhineland-Palatinate,DERP021,Neuwied-Hafenstraße,urban area,background,0.27,0,2016
Rhineland-Palatinate,DERP022,Bad Kreuznach-Bosenheimer Straße,urban area,background,0.29,0,2016
Rhineland-Palatinate,DERP025,Wörth-Marktplatz,urban area,background,0.26,0,2016
Saarland,DESL017,Völklingen-City Stadionstr.,urban area,background,0.36,0,2016
Saxony-Anhalt,DEST011,Wernigerode/Bahnhof,urban area,background,0.28,0,2016
Saxony-Anhalt,DEST105,Stendal Stadtsee,urban area,background,0.22,0,2016
UBA,DEUB030,Neuglobsow,rural regional,background,0.16,0,2016
Brandenburg,DEBB032,Eisenhüttenstadt,suburban area,industry,0.24,0,2016
Baden-Württemberg,DEBW022,Kehl,suburban area,industry,0.15,0,2016
Lower Saxony,DENI070,Salzgitter-Drütte,rural area,industry,0.25,0,2016
Rhineland-Palatinate,DERP003,Ludwigshafen-Mundenheim,urban area,industry,0.32,0,2016
Saarland,DESL003,Dillingen City,urban area,industry,0.39,0,2016
Saxony-Anhalt,DEST015,Bitterfeld/Wolfen,suburban area,industry,0.24,0,2016
Brandenburg,DEBB045,Frankfurt (Oder),,,,,2016
Brandenburg,DEBB054,Potsdam,,,,,2016
Brandenburg,DEBB087,Cottbus,,,,,2016
Berlin,DEBE061,Berlin Schildhornstraße,urban area,traffic,0.42,0,2016
Berlin,DEBE065,Berlin Frankfurter Allee,urban area,traffic,0.38,0,2016
Baden-Württemberg,DEBW080,Karlsruhe Reinhold-Frank-Straße,urban area,traffic,0.27,0,2016
Baden-Württemberg,DEBW098,Mannheim Friedrichsring,urban area,traffic,0.29,0,2016
Baden-Württemberg,DEBW099,Stuttgart Arnulf-Klett-Platz,urban area,traffic,0.29,0,2016
Baden-Württemberg,DEBW122,Freiburg Schwarzwaldstraße,urban area,traffic,0.29,0,2016
Baden-Württemberg,DEBW125,Pfinztal Karlsruher Straße,suburban area,traffic,0.27,0,2016
Baden-Württemberg,DEBW147,Reutlingen Lederstraße-Ost,urban area,traffic,0.45,0,2016
Baden-Württemberg,DEBW152,Heilbronn Weinsberger Straße-Ost,urban area,traffic,0.45,0,2016
Baden-Württemberg,DEBW156,Schramberg Oberndorfer Straße,urban area,traffic,0.32,0,2016
Bavaria,DEBY001,Ansbach/Residenzstraße,urban area,traffic,0.34,0,2016
Bavaria,DEBY006,Augsburg/Königsplatz,urban area,traffic,0.31,0,2016
Bavaria,DEBY014,Coburg/Lossaustraße,urban area,traffic,0.31,0,2016
Bavaria,DEBY021,Ingolstadt/Rechbergstraße,urban area,traffic,0.28,0,2016
Bavaria,DEBY028,Kelheim/Regensburger Straße,urban area,traffic,0.38,0,2016
Bavaria,DEBY035,Lindau (Bodensee)/Friedrichshafener Straße,urban area,traffic,0.31,0,2016
Bavaria,DEBY037,München/Stachus,urban area,traffic,0.38,0,2016
Bavaria,DEBY063,Regensburg/Rathaus,urban area,traffic,0.38,0,2016
Bavaria,DEBY110,Augsburg/Karlstraße,urban area,traffic,0.42,0,2016
Bavaria,DEBY111,Bayreuth/Hohenzollernring,urban area,traffic,0.33,0,2016
Bavaria,DEBY115,München/Landshuter Allee,urban area,traffic,0.51,0,2016
Bavaria,DEBY119,Würzburg/Stadtring Süd,urban area,traffic,0.35,0,2016
Bavaria,DEBY120,Nürnberg/Von-der-Tann-Straße,urban area,traffic,0.41,0,2016
Bremen,DEHB006,Bremen-Dobben,urban area,traffic,0.36,0,2016
Hesse,DEHE037,Wiesbaden Ringkirche,urban area,traffic,0.45,0,2016
Hesse,DEHE040,Darmstadt Hügelstraße,urban area,traffic,0.43,0,2016
Hesse,DEHE041,Frankfurt Friedberger Landstraße,urban area,traffic,0.43,0,2016
Hesse,DEHE049,Kassel Fünffensterstraße,urban area,traffic,0.43,0,2016
Hesse,DEHE059,Fulda Petersberger Straße,urban area,traffic,0.42,0,2016
Hesse,DEHE061,Gießen Westanlage,urban area,traffic,0.4,0,2016
Hesse,DEHE062,Marburg Universitätsstraße,urban area,traffic,0.47,0,2016
Hesse,DEHE063,Heppenheim Lehrstraße,urban area,traffic,0.37,0,2016
Hesse,DEHE116,Offenbach Untere Grenzstraße,urban area,traffic,0.37,0,2016
Hesse,DEHE131,Limburg Schiede,urban area,traffic,0.55,0,2016
Hamburg,DEHH068,Hamburg Habichtstraße,urban area,traffic,0.47,0,2016
Hamburg,DEHH070,Hamburg Max-Brauer-Allee II (Straße),urban area,traffic,0.47,0,2016
Mecklenburg-West Pomerania,DEMV022,Rostock-Holbeinplatz,urban area,traffic,0.33,0,2016
Mecklenburg-West Pomerania,DEMV023,Schwerin-Obotritenring,urban area,traffic,0.27,0,2016
Lower Saxony,DENI048,Hannover Verkehr,urban area,traffic,0.38,0,2016
Lower Saxony,DENI067,Osnabrück-Verkehr,urban area,traffic,0.52,0,2016
Lower Saxony,DENI068,Göttingen-Verkehr,urban area,traffic,0.44,0,2016
Lower Saxony,DENI071,Barbis-Verkehr,suburban area,traffic,0.32,0,2016
Lower Saxony,DENI075,Braunschweig-Verkehr,urban area,traffic,0.48,0,2016
Lower Saxony,DENI143,Oldenburg Heiligengeistwall,urban area,traffic,0.48,0,2016
Lower Saxony,DENI157,Wolfsburg Heßlinger Straße,urban area,traffic,0.37,0,2016
Rhineland-Palatinate,DERP010,Mainz-Parcusstraße,urban area,traffic,0.43,0,2016
Rhineland-Palatinate,DERP011,Mainz-Rheinallee,urban area,traffic,0.33,0,2016
Rhineland-Palatinate,DERP012,Mainz-Große Langgasse,urban area,traffic,0.36,0,2016
Rhineland-Palatinate,DERP020,Trier-Ostallee,urban area,traffic,0.33,0,2016
Rhineland-Palatinate,DERP023,Worms-Hagenstraße,urban area,traffic,0.34,0,2016
Rhineland-Palatinate,DERP024,Koblenz-Friedrich-Ebert-Ring,urban area,traffic,0.21,0,2016
